"bookTitle","cityName"
"Audio: Ride Railroad Bill","Van"
"Audio: Ride Railroad Bill","Lice"
"Audio: Ride Railroad Bill","Of"
"Audio: Ride Railroad Bill","Mission"
"Audio: Ride Railroad Bill","Waltham"
"Audio: Ride Railroad Bill","Wadsworth"
"Audio: Ride Railroad Bill","Bell"
"Audio: Ride Railroad Bill","Roy"
"Audio: Ride Railroad Bill","Salt Lake City"
"Audio: Ride Railroad Bill","Fairbanks"
"Jingle Bells","Man"
"Jingle Bells","Most"
"Jingle Bells","Much"
"Jingle Bells","Salt"
"Jingle Bells","Ho"
"Jingle Bells","Un"
"Jingle Bells","Contai"
"Jingle Bells","Date"
"Jingle Bells","Doma"
"Jingle Bells","Boo"
"Jingle Bells","Bo"
"Jingle Bells","Van"
"Jingle Bells","Lice"
"Jingle Bells","Of"
"Jingle Bells","Mission"
"Jingle Bells","Bell"
"Jingle Bells","Roy"
"Jingle Bells","Salt Lake City"
"Jingle Bells","Fairbanks"
"Audio: Go Tell Aunt Rhodie","Man"
"Audio: Go Tell Aunt Rhodie","Most"
"Audio: Go Tell Aunt Rhodie","Salt"
"Audio: Go Tell Aunt Rhodie","Ho"
"Audio: Go Tell Aunt Rhodie","Un"
"Audio: Go Tell Aunt Rhodie","Rho"
"Audio: Go Tell Aunt Rhodie","Date"
"Audio: Go Tell Aunt Rhodie","Doma"
"Audio: Go Tell Aunt Rhodie","Boo"
"Audio: Go Tell Aunt Rhodie","Bo"
"Audio: Go Tell Aunt Rhodie","Van"
"Audio: Go Tell Aunt Rhodie","Lice"
"Audio: Go Tell Aunt Rhodie","Of"
"Audio: Go Tell Aunt Rhodie","Mission"
"Audio: Go Tell Aunt Rhodie","Roy"
"Audio: Go Tell Aunt Rhodie","Salt Lake City"
"Audio: Go Tell Aunt Rhodie","Fairbanks"
"Audio: Roddy McCorley","Man"
"Audio: Roddy McCorley","Most"
"Audio: Roddy McCorley","Salt"
"Audio: Roddy McCorley","Antrim"
"Audio: Roddy McCorley","Ho"
"Audio: Roddy McCorley","Un"
"Audio: Roddy McCorley","Date"
"Audio: Roddy McCorley","Doma"
"Audio: Roddy McCorley","Boo"
"Audio: Roddy McCorley","Bo"
"Audio: Roddy McCorley","Van"
"Audio: Roddy McCorley","Lice"
"Audio: Roddy McCorley","Of"
"Audio: Roddy McCorley","Mission"
"Audio: Roddy McCorley","Roy"
